Unit_Id,Annotation,Media_Unit-Annotation_Score,Expert,Trusted_Judgment,term1,b1,e1,term2,b2,e2,Unit,term1_UMLS
820001,cause,0.1767766953,0,0,ANGI PECTORIS,110,129,METOPROLOL,81,91,"Keech AC, Harper RW, Harrison PM et al. Pharmacokinetic interaction between oral METOPROLOL and verapamil for ANGI PECTORIS",ANGI PECTORIS
820003,cause,0.7453559925,0,0,HYPOGLYCEMIA,151,167,GLUCOSE,105,112,Cortisol and growth hormone are also secreted in response to hypoglycemia and play a role in maintaining GLUCOSE levels but not in rapid recovery from HYPOGLYCEMIA,HYPOGLYCEMIA
820004,cause,0.2324952775,0,0,NOCTURL HYPOGLYCEMIA,12,34,FASTING BLOOD GLUCOSE,67,88,"The risk of NOCTURL HYPOGLYCEMIA is lower with this regimen, and FASTING BLOOD GLUCOSE is better controlled.",HYPOGLYCEMIA
820005,cause,0.943456353,0,0,HYPERGLYCEMIA,138,155,INSULIN,92,99,"a •  Increases glycogenolysis in the liver, reduces glucose uptake by tissues, and inhibits INSULIN release in the pancreas, resulting in HYPERGLYCEMIA",HYPERGLYCEMIA
820009,cause,0.6030226892,0,0,RHEUMATOID ARTHRITIS,461,481,AKINRA,405,413,"1  Specific Drugs         Drug Interaction Comments   Abatacept Increased incidence of infection and serious infection, without additiol clinical benefit, reported with abatacept and TNF blocking agents in rheumatoid arthritis  1 , 11  Concomitant use not recommended  1 , 11 , 15    Akinra Increased incidence of serious infections and neutropenia, without additiol clinical benefit, reported with AKINRA and etanercept (another TNF blocking agent) in RHEUMATOID ARTHRITIS  1 , 10.",RHEUMATOID ARTHRITIS
820012,cause,0.1524985703,0,0,VON WILLEBRAND FACTOR PREPARATIONS,111,145,ANTIHEMOPHILIC FACTOR,86,107,133  Cautions  Contraindications  •  Known hypersensitivity to commercially available ANTIHEMOPHILIC FACTOR or VON WILLEBRAND FACTOR PREPARATIONS or any ingredient in the formulations.,VON WILLEBRAND
820014,cause,0.9630868247,0,0,DIABETIC NEPHROPATHY,47,67,IRBESARTAN,14,24,The effect of IRBESARTAN on the development of DIABETIC NEPHROPATHY in patients with type 2 diabetes.,DIABETIC NEPHROPATHY
820015,cause,0,0,0,UREMIA,111,117,ACTIVATED CHARCOAL,48,66,"Hemoperfusion  Hemoperfusion through columns of ACTIVATED CHARCOAL to remove endogenous or exogenous toxins in UREMIA hepatic failure, or acute toxicity associated with overdose of certain drugs.",UREMIA
820016,cause,0,0,0,PEPTIC ULCER DISEASE,180,200,CLIDINIUM,128,137,"a ,   b ,   c  Peptic Ulcer Disease, Irritable Bowel Syndrome, and Acute Enterocolitis  Has been used in fixed combition with CLIDINIUM bromide as an adjunct in the treatment of PEPTIC ULCER DISEASE functiol disturbances of GI motility (e.g., irritable bowel syndrome), and acute enterocolitis.",PEPTIC ULCER DISEASE
820017,cause,0.8401680504,0,0,SEVERE HOMOZYGOUS VON WILLEBRAND DISEASE,43,83,FACTOR VIII/VON WILLEBRAND ANTIGEN,124,158,"100 ,   111 ,   114 ,   116  Patients with SEVERE HOMOZYGOUS VON WILLEBRAND DISEASE WITH FACTOR VIII coagulant activity and FACTOR VIII/VON WILLEBRAND ANTIGEN concentrations   111 ,   116 ,   a  Not  indicated for patients with severe type 1 von Willebrand disease or when there is evidence of an abnormal molecular form of factor VIII antigen.",VON WILLEBRAND
