judgment	duration	metrics.worker.agreement	output.keywords	output.keywords.agreement	started	submitted	unit	worker
1521235894	61	0	Counter({'pans': 1})	0	2015-01-08 11:19:05	2015-01-08 11:20:06	637324963	6352345
1521237434	37	0	Counter({'drop': 1, 'crash': 1})	0	2015-01-08 11:23:15	2015-01-08 11:23:52	637324963	18960682
1521240117	42	0	Counter({'clank': 1})	0	2015-01-08 11:28:15	2015-01-08 11:28:57	637324963	11295497
1521269028	36	0.1601281538	Counter({'scraping': 1, 'grid': 1, 'metal_on_metal': 1})	0.1601281538	2015-01-08 12:22:03	2015-01-08 12:22:39	637324963	29686407
1521277179	121	0	Counter({'smashing_glass': 1})	0	2015-01-08 12:39:10	2015-01-08 12:41:11	637324963	27939470
1521283964	71	0	Counter({'glass_breaking': 1})	0	2015-01-08 12:49:34	2015-01-08 12:50:45	637324963	6413571
1521303046	96	0	Counter({'clanging': 1})	0	2015-01-08 13:12:23	2015-01-08 13:13:59	637324963	21507445
1521304387	37	0.2581988897	Counter({'rattling': 1})	0.2581988897	2015-01-08 13:16:22	2015-01-08 13:16:59	637324963	28755767
1521309998	20	0.2581988897	Counter({'rattling': 1})	0.2581988897	2015-01-08 13:28:37	2015-01-08 13:28:57	637324963	11864493
1521310023	74	0.1889822365	Counter({'metal_on_metal': 1, 'metallic_grinding': 1})	0.1889822365	2015-01-08 13:27:44	2015-01-08 13:28:58	637324963	30983236
1521235896	61	0.5883484054	Counter({'electronic_sounds': 1})	0.5883484054	2015-01-08 11:19:05	2015-01-08 11:20:06	637324964	6352345
1521237426	37	0.1313064329	Counter({'synthesizer': 1, 'swoosh': 1})	0.1313064329	2015-01-08 11:23:15	2015-01-08 11:23:52	637324964	18960682
1521240131	42	0	Counter({'whine': 1})	0	2015-01-08 11:28:15	2015-01-08 11:28:57	637324964	11295497
1521269027	36	0.2264554068	Counter({'alien_sound_effects': 1, 'computer_game': 1, 'robot': 1})	0.2264554068	2015-01-08 12:22:03	2015-01-08 12:22:39	637324964	29686407
1521277181	121	0.5883484054	Counter({'electronic_sounds': 1})	0.5883484054	2015-01-08 12:39:10	2015-01-08 12:41:11	637324964	27939470
1521283962	71	0.1825741858	Counter({'computer_game': 1})	0.1825741858	2015-01-08 12:49:34	2015-01-08 12:50:45	637324964	6413571
1521303051	96	0.5897678246	Counter({'synthesizer': 1, 'electronic_sounds': 1})	0.5897678246	2015-01-08 13:12:23	2015-01-08 13:13:59	637324964	21507445
1521304386	37	0	Counter({'musical': 1})	0	2015-01-08 13:16:22	2015-01-08 13:16:59	637324964	28755767
1521309992	20	0.5883484054	Counter({'electronic_sounds': 1})	0.5883484054	2015-01-08 13:28:37	2015-01-08 13:28:57	637324964	11864493
1521309996	74	0.1313064329	Counter({'techno_sounds': 1, 'alien_sound_effects': 1})	0.1313064329	2015-01-08 13:27:44	2015-01-08 13:28:58	637324964	30983236
1521235897	61	0	Counter({'ring': 1})	0	2015-01-08 11:19:05	2015-01-08 11:20:06	637324965	6352345
1521237428	37	0	Counter({'beat': 1, 'electronic_drum': 1})	0	2015-01-08 11:23:15	2015-01-08 11:23:52	637324965	18960682
1521240119	42	0	Counter({'slience': 1})	0	2015-01-08 11:28:15	2015-01-08 11:28:57	637324965	11295497
1521269029	36	0.1825741858	Counter({'note': 1, 'notification': 1, 'pinging_sound': 1})	0.1825741858	2015-01-08 12:22:03	2015-01-08 12:22:39	637324965	29686407
1521277182	121	0.2886751346	Counter({'pinging_sound': 1})	0.2886751346	2015-01-08 12:39:10	2015-01-08 12:41:11	637324965	27939470
1521283963	71	0	Counter({'cell_phone_text_alert': 1})	0	2015-01-08 12:49:34	2015-01-08 12:50:45	637324965	6413571
1521303048	96	0	Counter({'ding': 1})	0	2015-01-08 13:12:23	2015-01-08 13:13:59	637324965	21507445
1521304384	37	0	Counter({'click': 1})	0	2015-01-08 13:16:22	2015-01-08 13:16:59	637324965	28755767
1521309990	20	0	Counter({'bing': 1})	0	2015-01-08 13:28:37	2015-01-08 13:28:57	637324965	11864493
1521310000	74	0	Counter({'dull_metallic_tap': 1})	0	2015-01-08 13:27:44	2015-01-08 13:28:58	637324965	30983236
1521236203	51	0.6882472016	Counter({'echo': 1})	0.6882472016	2015-01-08 11:20:08	2015-01-08 11:20:59	637324966	6352345
1521238170	96	0	Counter({'drama': 1, 'anticipation': 1})	0	2015-01-08 11:23:52	2015-01-08 11:25:28	637324966	18960682
1521240640	59	0.6882472016	Counter({'echo': 1})	0.6882472016	2015-01-08 11:28:58	2015-01-08 11:29:57	637324966	11295497
1521270337	39	0	Counter({'gyration': 1, 'rasping': 1, 'ghostly': 1})	0	2015-01-08 12:25:46	2015-01-08 12:26:25	637324966	29686407
1521277747	49	0	Counter({'weird_hollow_sound': 1})	0	2015-01-08 12:41:11	2015-01-08 12:42:00	637324966	27939470
1521303575	63	0	Counter({'synthesizer': 1})	0	2015-01-08 13:14:00	2015-01-08 13:15:03	637324966	21507445
1521304647	46	0	Counter({'ufo': 1})	0	2015-01-08 13:17:00	2015-01-08 13:17:46	637324966	28755767
1521308800	62	0	Counter({'train': 1, 'whirring': 1})	0	2015-01-08 13:25:39	2015-01-08 13:26:41	637324966	30983236
1521312888	39	0.6882472016	Counter({'echo': 1})	0.6882472016	2015-01-08 13:34:20	2015-01-08 13:34:59	637324966	27077723
1521320881	25	0.6882472016	Counter({'echo': 1})	0.6882472016	2015-01-08 13:54:10	2015-01-08 13:54:35	637324966	29611985
1521236200	51	0	Counter({'musical': 1})	0	2015-01-08 11:20:08	2015-01-08 11:20:59	637324967	6352345
1521238169	96	0.5812381937	Counter({'revving': 1, 'techno_music': 1})	0.5812381937	2015-01-08 11:23:52	2015-01-08 11:25:28	637324967	18960682
1521240639	59	0.8111071057	Counter({'techno_music': 1})	0.8111071057	2015-01-08 11:28:58	2015-01-08 11:29:57	637324967	11295497
1521270343	39	0.5940885258	Counter({'synthesizer': 1, 'techno_music': 1, 'house': 1})	0.5940885258	2015-01-08 12:25:46	2015-01-08 12:26:25	637324967	29686407
1521277751	49	0.8111071057	Counter({'techno_music': 1})	0.8111071057	2015-01-08 12:41:11	2015-01-08 12:42:00	637324967	27939470
1521303573	63	0.1054092553	Counter({'synthesizer': 1, 'drumming': 1})	0.1054092553	2015-01-08 13:14:00	2015-01-08 13:15:03	637324967	21507445
1521304630	46	0.1474419562	Counter({'drums': 1})	0.1474419562	2015-01-08 13:17:00	2015-01-08 13:17:46	637324967	28755767
1521308798	62	0	Counter({'techno_beat': 1})	0	2015-01-08 13:25:39	2015-01-08 13:26:41	637324967	30983236
1521312885	39	0.8111071057	Counter({'techno_music': 1})	0.8111071057	2015-01-08 13:34:20	2015-01-08 13:34:59	637324967	27077723
1521320883	25	0.7171371656	Counter({'techno_music': 1, 'drums': 1})	0.7171371656	2015-01-08 13:54:10	2015-01-08 13:54:35	637324967	29611985
1521236201	51	0	Counter({'swing': 1, 'metallic': 1})	0	2015-01-08 11:20:08	2015-01-08 11:20:59	637324968	6352345
1521238168	96	0	Counter({'shrill': 1, 'shriek': 1})	0	2015-01-08 11:23:52	2015-01-08 11:25:28	637324968	18960682
1521240641	59	0	Counter({'whine': 1})	0	2015-01-08 11:28:58	2015-01-08 11:29:57	637324968	11295497
1521270341	39	0.1443375673	Counter({'resonance': 1, 'tuning': 1, 'high_pitched_tone': 1})	0.1443375673	2015-01-08 12:25:46	2015-01-08 12:26:25	637324968	29686407
1521277753	49	0	Counter({'high_pitched_sound': 1})	0	2015-01-08 12:41:11	2015-01-08 12:42:00	637324968	27939470
1521303574	63	0.2357022604	Counter({'whistle': 1})	0.2357022604	2015-01-08 13:14:00	2015-01-08 13:15:03	637324968	21507445
1521304637	46	0.2357022604	Counter({'whistle': 1})	0.2357022604	2015-01-08 13:17:00	2015-01-08 13:17:46	637324968	28755767
1521308806	62	0.3651483717	Counter({'high_pitched_tone': 1, 'amplifier_feedback': 1})	0.3651483717	2015-01-08 13:25:39	2015-01-08 13:26:41	637324968	30983236
1521312880	39	0	Counter({'screech': 1})	0	2015-01-08 13:34:20	2015-01-08 13:34:59	637324968	27077723
1521320877	25	0.2357022604	Counter({'amplifier_feedback': 1})	0.2357022604	2015-01-08 13:54:10	2015-01-08 13:54:35	637324968	29611985
1521236628	61	0	Counter({'squeeky': 1})	0	2015-01-08 11:21:00	2015-01-08 11:22:01	637324969	6352345
1521238538	48	0	Counter({'alarm': 1, 'suspense': 1, 'gears': 1, 'machinery': 1})	0	2015-01-08 11:25:29	2015-01-08 11:26:17	637324969	18960682
1521241629	72	0	Counter({'recording': 1})	0	2015-01-08 11:29:59	2015-01-08 11:31:11	637324969	11295497
1521271674	46	0	Counter({'accident': 1, 'technology': 1, 'air_raid': 1})	0	2015-01-08 12:29:17	2015-01-08 12:30:03	637324969	29686407
1521278527	88	0	Counter({'strange_sounds': 1})	0	2015-01-08 12:42:01	2015-01-08 12:43:29	637324969	27939470
1521304000	62	0	Counter({'synthesizer': 1, 'whirring': 1})	0	2015-01-08 13:15:04	2015-01-08 13:16:06	637324969	21507445
1521305279	61	0	Counter({'wining': 1, 'paper': 1})	0	2015-01-08 13:17:47	2015-01-08 13:18:48	637324969	28755767
1521311184	133	0	Counter({'screwing': 1, 'old_fashioned_movie_reel': 1})	0	2015-01-08 13:29:01	2015-01-08 13:31:14	637324969	30983236
1521313574	41	0	Counter({'technical': 1, 'vacuum': 1})	0	2015-01-08 13:36:13	2015-01-08 13:36:54	637324969	27077723
1521320054	50	0	Counter({'whirl': 1, 'zip': 1, 'rattle': 1, 'echo': 1, 'whistle': 1, 'drill': 1})	0	2015-01-08 13:52:03	2015-01-08 13:52:53	637324969	6228981
1521236626	61	0	Counter({'piano': 1, 'strings': 1})	0	2015-01-08 11:21:00	2015-01-08 11:22:01	637324970	6352345
1521238535	48	0.8411910242	Counter({'guitar': 1, 'music_note': 1, 'chord': 1})	0.8411910242	2015-01-08 11:25:29	2015-01-08 11:26:17	637324970	18960682
1521241628	72	0.3464101615	Counter({'chord': 1})	0.3464101615	2015-01-08 11:29:59	2015-01-08 11:31:11	637324970	11295497
1521271676	46	0.5809475019	Counter({'guitar': 1, 'chord': 1, 'harmony': 1, 'spanish': 1})	0.5809475019	2015-01-08 12:29:17	2015-01-08 12:30:03	637324970	29686407
1521278531	88	0.2279211529	Counter({'music_note': 1})	0.2279211529	2015-01-08 12:42:01	2015-01-08 12:43:29	637324970	27939470
1521303998	62	0.7223151185	Counter({'guitar': 1})	0.7223151185	2015-01-08 13:15:04	2015-01-08 13:16:06	637324970	21507445
1521305280	61	0.7223151185	Counter({'guitar': 1})	0.7223151185	2015-01-08 13:17:47	2015-01-08 13:18:48	637324970	28755767
1521311176	133	0.6092717958	Counter({'guitar': 1, 'strum': 1})	0.6092717958	2015-01-08 13:29:01	2015-01-08 13:31:14	637324970	30983236
1521313573	41	0.7071067812	Counter({'guitar': 1, 'music_note': 1})	0.7071067812	2015-01-08 13:36:13	2015-01-08 13:36:54	637324970	27077723
1521320053	50	0.751646028	Counter({'guitar': 1, 'chord': 1, 'strum': 1})	0.751646028	2015-01-08 13:52:03	2015-01-08 13:52:53	637324970	6228981
1521236614	61	0	Counter({'symbols': 1})	0	2015-01-08 11:21:00	2015-01-08 11:22:01	637324971	6352345
1521238537	48	0	Counter({'beep': 1})	0	2015-01-08 11:25:29	2015-01-08 11:26:17	637324971	18960682
1521241626	72	0.2773500981	Counter({'ascending_tone': 1})	0.2773500981	2015-01-08 11:29:59	2015-01-08 11:31:11	637324971	11295497
1521271673	46	0	Counter({'note': 1, 'resonance': 1, 'voice': 1})	0	2015-01-08 12:29:17	2015-01-08 12:30:03	637324971	29686407
1521278529	88	0	Counter({'more_strange_sounds': 1})	0	2015-01-08 12:42:01	2015-01-08 12:43:29	637324971	27939470
1521303999	62	0	Counter({'synthesizer': 1})	0	2015-01-08 13:15:04	2015-01-08 13:16:06	637324971	21507445
1521305281	61	0	Counter({'keyboard': 1})	0	2015-01-08 13:17:47	2015-01-08 13:18:48	637324971	28755767
1521311191	133	0.2773500981	Counter({'ascending_tone': 1})	0.2773500981	2015-01-08 13:29:01	2015-01-08 13:31:14	637324971	30983236
1521313572	41	0	Counter({'echo': 1})	0	2015-01-08 13:36:13	2015-01-08 13:36:54	637324971	27077723
1521320050	50	0	Counter({'ah': 1, 'yell': 1, 'vocal': 1})	0	2015-01-08 13:52:03	2015-01-08 13:52:53	637324971	6228981
1521243794	47	0.25	Counter({'vibrating_tone': 1})	0.25	2015-01-08 11:33:36	2015-01-08 11:34:23	637324972	11295497
1521272033	57	0	Counter({'ship': 1, 'boom': 1, 'vibration': 1})	0	2015-01-08 12:30:04	2015-01-08 12:31:01	637324972	29686407
1521279215	58	0	Counter({'spacey_sound': 1})	0	2015-01-08 12:43:30	2015-01-08 12:44:28	637324972	27939470
1521304318	43	0	Counter({'reverb': 1})	0	2015-01-08 13:16:07	2015-01-08 13:16:50	637324972	21507445
1521306386	37	0	Counter({'guitar': 1})	0	2015-01-08 13:20:42	2015-01-08 13:21:19	637324972	28755767
1521312093	113	0.1825741858	Counter({'vibrating_tone': 1, 'pulsing_tone': 1})	0.1825741858	2015-01-08 13:31:19	2015-01-08 13:33:12	637324972	30983236
1521314176	107	0.25	Counter({'horn': 1})	0.25	2015-01-08 13:36:55	2015-01-08 13:38:42	637324972	27077723
1521319611	49	0.1825741858	Counter({'buzz': 1, 'horn': 1})	0.1825741858	2015-01-08 13:51:14	2015-01-08 13:52:03	637324972	6228981
1521321316	44	0	Counter({'violin': 1})	0	2015-01-08 13:54:36	2015-01-08 13:55:20	637324972	29611985
1521322573	86	0	Counter({'warning': 1, 'foghorn': 1})	0	2015-01-08 13:56:46	2015-01-08 13:58:12	637324972	14848125
1521243791	47	0	Counter({'bongo': 1})	0	2015-01-08 11:33:36	2015-01-08 11:34:23	637324973	11295497
1521272035	57	0.1259881577	Counter({'notification': 1, 'alarm': 1, 'computerised': 1})	0.1259881577	2015-01-08 12:30:04	2015-01-08 12:31:01	637324973	29686407
1521279214	58	0.2085144141	Counter({'music_notes': 1})	0.2085144141	2015-01-08 12:43:30	2015-01-08 12:44:28	637324973	27939470
1521304317	43	0	Counter({'synthesizer': 1, 'drums': 1})	0	2015-01-08 13:16:07	2015-01-08 13:16:50	637324973	21507445
1521306392	37	0	Counter({'keyboard': 1})	0	2015-01-08 13:20:42	2015-01-08 13:21:19	637324973	28755767
1521312089	113	0.316227766	Counter({'simple_techno_beat': 1, 'techno_beat': 1})	0.316227766	2015-01-08 13:31:19	2015-01-08 13:33:12	637324973	30983236
1521314181	107	0.316227766	Counter({'music_notes': 1, 'techno_beat': 1})	0.316227766	2015-01-08 13:36:55	2015-01-08 13:38:42	637324973	27077723
1521319615	49	0.2649064714	Counter({'simple_techno_beat': 1, 'alarm': 1, 'morning': 1})	0.2649064714	2015-01-08 13:51:14	2015-01-08 13:52:03	637324973	6228981
1521321311	44	0	Counter({'electronics': 1})	0	2015-01-08 13:54:36	2015-01-08 13:55:20	637324973	29611985
1521322574	86	0	Counter({'mellow': 1, 'echoey': 1})	0	2015-01-08 13:56:46	2015-01-08 13:58:12	637324973	14848125
1521243788	47	0	Counter({'chords': 1})	0	2015-01-08 11:33:36	2015-01-08 11:34:23	637324974	11295497
1521272038	57	0.1091089451	Counter({'synthesiser': 1, 'music': 1, 'funk': 1})	0.1091089451	2015-01-08 12:30:04	2015-01-08 12:31:01	637324974	29686407
1521279216	58	0	Counter({'drumbeat': 1})	0	2015-01-08 12:43:30	2015-01-08 12:44:28	637324974	27939470
1521304316	43	0.4242640687	Counter({'drum': 1, 'bass': 1})	0.4242640687	2015-01-08 13:16:07	2015-01-08 13:16:50	637324974	21507445
1521306387	37	0	Counter({'keyboard': 1})	0	2015-01-08 13:20:42	2015-01-08 13:21:19	637324974	28755767
1521312091	113	0.3535533906	Counter({'rock_rhythm': 1, 'drumming': 1, 'drum': 1})	0.3535533906	2015-01-08 13:31:19	2015-01-08 13:33:12	637324974	30983236
1521314179	107	0.1825741858	Counter({'music': 1})	0.1825741858	2015-01-08 13:36:55	2015-01-08 13:38:42	637324974	27077723
1521319613	49	0.3535533906	Counter({'beat': 1, 'techno': 1, 'drum': 1})	0.3535533906	2015-01-08 13:51:14	2015-01-08 13:52:03	637324974	6228981
1521321312	44	0.5883484054	Counter({'drum': 1})	0.5883484054	2015-01-08 13:54:36	2015-01-08 13:55:20	637324974	29611985
1521322572	86	0	Counter({'percussion': 1, 'tinny': 1, 'rhythym': 1})	0	2015-01-08 13:56:46	2015-01-08 13:58:12	637324974	14848125
1521244295	51	0	Counter({'tick': 1})	0	2015-01-08 11:34:24	2015-01-08 11:35:15	637324975	11295497
1521273233	37	0.1825741858	Counter({'scratching': 1, 'slowing': 1})	0.1825741858	2015-01-08 12:32:45	2015-01-08 12:33:22	637324975	29686407
1521279877	57	0	Counter({'shuffling_sound': 1})	0	2015-01-08 12:44:29	2015-01-08 12:45:26	637324975	27939470
1521304648	57	0	Counter({'sputtering': 1})	0	2015-01-08 13:16:50	2015-01-08 13:17:47	637324975	21507445
1521306869	69	0	Counter({'rustling': 1})	0	2015-01-08 13:21:20	2015-01-08 13:22:29	637324975	28755767
1521312782	93	0	Counter({'tape_reel': 1, 'flicking': 1, 'tapping': 1})	0	2015-01-08 13:33:14	2015-01-08 13:34:47	637324975	30983236
1521314408	33	0	Counter({'shake': 1})	0	2015-01-08 13:38:43	2015-01-08 13:39:16	637324975	27077723
1521321354	159	0	Counter({'cilp': 1, 'trim': 1, 'cut': 1})	0	2015-01-08 13:52:54	2015-01-08 13:55:33	637324975	6228981
1521321646	46	0	Counter({'wheel': 1, 'spinning': 1})	0	2015-01-08 13:55:21	2015-01-08 13:56:07	637324975	29611985
1521328125	79	0.1825741858	Counter({'scratching': 1, 'soft': 1})	0.1825741858	2015-01-08 14:10:13	2015-01-08 14:11:32	637324975	13763729
1521244290	51	0.8401680504	Counter({'drum': 1})	0.8401680504	2015-01-08 11:34:24	2015-01-08 11:35:15	637324976	11295497
1521273232	37	0.5895063447	Counter({'beat': 1, 'snare': 1, 'drum': 1})	0.5895063447	2015-01-08 12:32:45	2015-01-08 12:33:22	637324976	29686407
1521279879	57	0.1280368799	Counter({'fast_music': 1})	0.1280368799	2015-01-08 12:44:29	2015-01-08 12:45:26	637324976	27939470
1521304649	57	0.8401680504	Counter({'drum': 1})	0.8401680504	2015-01-08 13:16:50	2015-01-08 13:17:47	637324976	21507445
1521306870	69	0.6	Counter({'drum': 1, 'cymbals': 1})	0.6	2015-01-08 13:21:20	2015-01-08 13:22:29	637324976	28755767
1521312791	93	0	Counter({'upbeat': 1, 'percussion': 1})	0	2015-01-08 13:33:14	2015-01-08 13:34:47	637324976	30983236
1521314414	33	0.1280368799	Counter({'fast_music': 1})	0.1280368799	2015-01-08 13:38:43	2015-01-08 13:39:16	637324976	27077723
1521321355	159	0.5895063447	Counter({'beat': 1, 'rattle': 1, 'drum': 1})	0.5895063447	2015-01-08 13:52:54	2015-01-08 13:55:33	637324976	6228981
1521321647	46	0.8401680504	Counter({'drum': 1})	0.8401680504	2015-01-08 13:55:21	2015-01-08 13:56:07	637324976	29611985
1521328110	79	0.4948716593	Counter({'bongo': 1, 'drum': 1, 'notes': 1})	0.4948716593	2015-01-08 14:10:13	2015-01-08 14:11:32	637324976	13763729
1521244298	51	0.3333333333	Counter({'finger_snapping': 1})	0.3333333333	2015-01-08 11:34:24	2015-01-08 11:35:15	637324977	11295497
1521273231	37	0.3061862178	Counter({'clicking_sound': 1, 'repetitive': 1, 'fingers': 1})	0.3061862178	2015-01-08 12:32:45	2015-01-08 12:33:22	637324977	29686407
1521279876	57	0.5144957554	Counter({'clicking_sound': 1})	0.5144957554	2015-01-08 12:44:29	2015-01-08 12:45:26	637324977	27939470
1521304641	57	0	Counter({'clacking': 1})	0	2015-01-08 13:16:50	2015-01-08 13:17:47	637324977	21507445
1521306874	69	0.3333333333	Counter({'finger_snapping': 1})	0.3333333333	2015-01-08 13:21:20	2015-01-08 13:22:29	637324977	28755767
1521312780	93	0.5455447256	Counter({'masturbating': 1, 'clicking_sound': 1, 'tapping': 1})	0.5455447256	2015-01-08 13:33:14	2015-01-08 13:34:47	637324977	30983236
1521314411	33	0.3333333333	Counter({'tapping': 1})	0.3333333333	2015-01-08 13:38:43	2015-01-08 13:39:16	637324977	27077723
1521321357	159	0.1980295086	Counter({'beat': 1, 'tap': 1, 'finger_snapping': 1})	0.1980295086	2015-01-08 13:52:54	2015-01-08 13:55:33	637324977	6228981
